R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba,n_clusters,max_cluster_size,iteration,mutation_proba,detection_proba
0.7,0.1,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
0.9,0.1,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
1.1,0.1,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
1.3,0.1,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
0.7,0.3,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
0.9,0.3,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
1.1,0.3,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
1.3,0.3,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
0.7,0.5,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
0.9,0.5,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
1.1,0.5,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
1.3,0.5,14,5.2,0.1,0.01,3000,1500,1,0.180709,0.001
0.7,0.1,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
0.9,0.1,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
1.1,0.1,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
1.3,0.1,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
0.7,0.3,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
0.9,0.3,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
1.1,0.3,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
1.3,0.3,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
0.7,0.5,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
0.9,0.5,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
1.1,0.5,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
1.3,0.5,14,5.2,0.2,0.01,3000,1500,1,0.180709,0.002
0.7,0.1,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
0.9,0.1,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
1.1,0.1,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
1.3,0.1,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
0.7,0.3,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
0.9,0.3,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
1.1,0.3,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
1.3,0.3,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
0.7,0.5,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
0.9,0.5,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
1.1,0.5,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
1.3,0.5,14,5.2,0.4,0.01,3000,1500,1,0.180709,0.004
0.7,0.1,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
0.9,0.1,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
1.1,0.1,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
1.3,0.1,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
0.7,0.3,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
0.9,0.3,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
1.1,0.3,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
1.3,0.3,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
0.7,0.5,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
0.9,0.5,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
1.1,0.5,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
1.3,0.5,14,5.2,0.6,0.01,3000,1500,1,0.180709,0.006
0.7,0.1,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
0.9,0.1,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
1.1,0.1,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
1.3,0.1,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
0.7,0.3,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
0.9,0.3,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
1.1,0.3,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
1.3,0.3,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
0.7,0.5,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
0.9,0.5,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
1.1,0.5,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
1.3,0.5,14,5.2,0.8,0.01,3000,1500,1,0.180709,0.008
0.7,0.1,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
0.9,0.1,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
1.1,0.1,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
1.3,0.1,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
0.7,0.3,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
0.9,0.3,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
1.1,0.3,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
1.3,0.3,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
0.7,0.5,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
0.9,0.5,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
1.1,0.5,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
1.3,0.5,14,5.2,0.1,0.1,3000,1500,1,0.180709,0.01
0.7,0.1,14,5.2,0.2,0.1,3000,1500,1,0.180709,0.02
0.9,0.1,14,5.2,0.2,0.1,3000,1500,1,0.180709,0.02
1.1,0.1,14,5.2,0.2,0.1,3000,1500,1,0.180709,0.02
1.3,0.1,14,5.2,0.2,0.1,3000,1500,1,0.180709,0.02
0.7,0.3,14,5.2,0.2,0.1,3000,1500,1,0.180709,0.02
0.9,0.3,14,5.2,0.2,0.1,3000,1500,1,0.180709,0.02
